query_id,recall_exact,recall_pq,recall_candidate_oracle,recall_all16,recall_exact_oracle,delta_exact_control,total_loss,discovery_loss,ranking_loss,exact_l0_count,pq_l0_count,coverage_exact,coverage_pq,top16_boundary_tie
164,0.80000000000000004,0.80000000000000004,0.90000000000000002,0.90000000000000002,0.80000000000000004,0,0,-0.099999999999999978,0.099999999999999978,538,531,0.80000000000000004,0.90000000000000002,0
165,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,810,697,0.90000000000000002,0.90000000000000002,0
166,0.90000000000000002,0.90000000000000002,1,0.90000000000000002,0.90000000000000002,0,0,-0.099999999999999978,0.099999999999999978,501,583,0.90000000000000002,1,0
167,0.90000000000000002,0.69999999999999996,0.80000000000000004,0.69999999999999996,0.90000000000000002,0,0.20000000000000007,0.099999999999999978,0.10000000000000009,742,702,0.90000000000000002,0.80000000000000004,0
168,1,1,1,1,1,0,0,0,0,557,550,1,1,0
169,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0,0,0,0,532,508,0.80000000000000004,0.80000000000000004,0
170,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,666,788,1,1,0
171,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,469,465,1,1,0
172,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,557,681,0.90000000000000002,0.90000000000000002,0
173,0.90000000000000002,0.69999999999999996,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0.20000000000000007,0,0.20000000000000007,578,596,0.90000000000000002,0.90000000000000002,0
174,0.69999999999999996,0.59999999999999998,0.59999999999999998,0.59999999999999998,0.69999999999999996,0,0.099999999999999978,0.099999999999999978,0,779,748,0.69999999999999996,0.59999999999999998,0
175,0.10000000000000001,0.10000000000000001,0.10000000000000001,0.10000000000000001,0.10000000000000001,0,0,0,0,740,744,0.10000000000000001,0.10000000000000001,0
176,1,1,1,1,1,0,0,0,0,748,692,1,1,0
177,0.59999999999999998,0.59999999999999998,0.59999999999999998,0.59999999999999998,0.59999999999999998,0,0,0,0,1165,1419,0.59999999999999998,0.59999999999999998,0
178,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0,0,0,0,854,725,0.69999999999999996,0.69999999999999996,0
179,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0,0,0,0,618,615,0.80000000000000004,0.80000000000000004,0
180,0.90000000000000002,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.90000000000000002,0,0.099999999999999978,0.099999999999999978,0,776,743,0.90000000000000002,0.80000000000000004,0
181,1,1,1,1,1,0,0,0,0,638,625,1,1,0
182,1,1,1,1,1,0,0,0,0,287,285,1,1,0
183,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0,0,0,0,786,814,0.80000000000000004,0.80000000000000004,0
184,1,0.80000000000000004,1,1,1,0,0.19999999999999996,0,0.19999999999999996,871,765,1,1,0
185,0.20000000000000001,0.20000000000000001,0.20000000000000001,0.20000000000000001,0.20000000000000001,0,0,0,0,765,870,0.20000000000000001,0.20000000000000001,0
186,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,556,714,0.90000000000000002,0.90000000000000002,0
187,0.40000000000000002,0.40000000000000002,0.40000000000000002,0.40000000000000002,0.40000000000000002,0,0,0,0,748,747,0.40000000000000002,0.40000000000000002,0
188,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,706,800,1,1,0
189,1,1,1,1,1,0,0,0,0,519,506,1,1,0
190,1,1,1,1,1,0,0,0,0,506,515,1,1,0
191,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,690,837,1,1,0
192,1,1,1,1,1,0,0,0,0,682,636,1,1,0
193,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0,0,0,0,576,568,0.69999999999999996,0.69999999999999996,0
194,1,0.80000000000000004,1,1,1,0,0.19999999999999996,0,0.19999999999999996,562,598,1,1,0
195,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,602,609,1,1,0
196,0.59999999999999998,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.59999999999999998,0,-0.20000000000000007,-0.20000000000000007,0,655,656,0.59999999999999998,0.80000000000000004,0
197,1,0.80000000000000004,1,1,1,0,0.19999999999999996,0,0.19999999999999996,591,559,1,1,0
198,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,835,841,1,1,0
199,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,419,386,1,1,0
200,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,769,776,0.90000000000000002,0.90000000000000002,0
201,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0,0,0,0,584,738,0.80000000000000004,0.80000000000000004,0
202,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,470,490,1,1,0
203,0.5,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.5,0,-0.19999999999999996,-0.19999999999999996,0,648,1006,0.5,0.69999999999999996,0
204,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0,0,0,0,731,765,0.69999999999999996,0.69999999999999996,0
205,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0,0,0,0,693,701,0.69999999999999996,0.69999999999999996,0
206,0.90000000000000002,0.80000000000000004,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0.099999999999999978,0,0.099999999999999978,687,692,0.90000000000000002,0.90000000000000002,0
207,1,1,1,1,1,0,0,0,0,190,453,1,1,0
208,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,567,561,1,1,0
209,1,0.90000000000000002,1,0.90000000000000002,1,0,0.099999999999999978,0,0.099999999999999978,763,651,1,1,0
210,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0,0,0,0,715,737,0.80000000000000004,0.80000000000000004,0
211,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,616,645,1,1,0
212,0.20000000000000001,0.20000000000000001,0.20000000000000001,0.20000000000000001,0.20000000000000001,0,0,0,0,714,703,0.20000000000000001,0.20000000000000001,0
213,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,1020,953,1,1,0
214,1,1,1,1,1,0,0,0,0,571,575,1,1,0
215,0.29999999999999999,0.40000000000000002,0.40000000000000002,0.40000000000000002,0.29999999999999999,0,-0.10000000000000003,-0.10000000000000003,0,791,923,0.29999999999999999,0.40000000000000002,0
216,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0,0,0,0,1264,930,0.69999999999999996,0.69999999999999996,0
