scope,descriptor,model,realized_loss_spearman,mean_loss_spearman
oracle1,boundary_gap_r2,R2-I2,-0.45147001375034823,-0.7391215116095753
oracle1,boundary_gap_r2,R2-I3,-0.4449334691965998,-0.7391215116095753
oracle1,boundary_gap_r2,R3-I1,-0.42824395855148034,-0.7391215116095753
oracle1,boundary_gap_r2,R3-I2,-0.44465701638925537,-0.7391215116095753
oracle1,boundary_gap_r2,R3-I3,-0.4539879496724654,-0.7391215116095753
oracle1,boundary_gap_r2,R4-I1,-0.4581279316207247,-0.7391215116095753
oracle1,boundary_gap_r2,R4-I2,-0.4401961234303119,-0.7391215116095753
oracle1,boundary_gap_r2,R4-I3,-0.4402919094845064,-0.7391215116095753
oracle1,boundary_gap_r5,R0-I1,-0.3645793251797571,-0.6556781114501526
oracle1,boundary_gap_r5,R0-I2,-0.36017614149229404,-0.6556781114501526
oracle1,boundary_gap_r5,R0-I3,-0.37438451861797023,-0.6556781114501526
oracle1,boundary_gap_r5,R1-I1,-0.3999341183283984,-0.6556781114501526
oracle1,boundary_gap_r5,R1-I2,-0.38719066853012474,-0.6556781114501526
oracle1,boundary_gap_r5,R1-I3,-0.41290459305861327,-0.6556781114501526
oracle1,boundary_gap_r5,R2-I1,-0.38842970027238294,-0.6556781114501526
oracle1,boundary_gap_r5,R2-I2,-0.40945146032202717,-0.6556781114501526
oracle1,boundary_gap_r5,R2-I3,-0.39188320218099276,-0.6556781114501526
oracle1,boundary_gap_r5,R3-I1,-0.3999857404865777,-0.6556781114501526
oracle1,boundary_gap_r5,R3-I2,-0.4032395410300428,-0.6556781114501526
oracle1,boundary_gap_r5,R3-I3,-0.40984879431336146,-0.6556781114501526
oracle1,boundary_gap_r5,R4-I1,-0.4006507316675508,-0.6556781114501526
oracle1,boundary_gap_r5,R4-I2,-0.37914065258651125,-0.6556781114501526
oracle1,boundary_gap_r5,R4-I3,-0.3870995434368608,-0.6556781114501526
oracle1,local_distance_concentration,R0-I1,-0.17793697648648193,-0.33745037359264596
oracle1,local_distance_concentration,R0-I2,-0.19167810173057345,-0.33745037359264596
oracle1,local_distance_concentration,R0-I3,-0.18817535400299437,-0.33745037359264596
oracle1,local_distance_concentration,R1-I1,-0.2019864956017812,-0.33745037359264596
oracle1,local_distance_concentration,R1-I2,-0.20870696994688315,-0.33745037359264596
oracle1,local_distance_concentration,R1-I3,-0.2116087996799316,-0.33745037359264596
oracle1,local_distance_concentration,R2-I1,-0.2168253809479465,-0.33745037359264596
oracle1,local_distance_concentration,R2-I2,-0.20354118308932864,-0.33745037359264596
oracle1,local_distance_concentration,R2-I3,-0.215613718178167,-0.33745037359264596
oracle1,local_distance_concentration,R3-I1,-0.20576865223760948,-0.33745037359264596
oracle1,local_distance_concentration,R3-I2,-0.2118369302563031,-0.33745037359264596
oracle1,local_distance_concentration,R3-I3,-0.2097054415412925,-0.33745037359264596
oracle1,local_distance_concentration,R4-I1,-0.20881580253644708,-0.33745037359264596
oracle1,local_distance_concentration,R4-I2,-0.20137803164924373,-0.33745037359264596
oracle1,local_distance_concentration,R4-I3,-0.20745774513330378,-0.33745037359264596
oracle1,candidate_count,R0-I1,0.02385205344546484,0.027844215497858652
oracle1,candidate_count,R0-I2,0.02999440673076325,0.027844215497858652
oracle1,candidate_count,R0-I3,0.0006485275984698408,0.027844215497858652
