model,scope,metric,permutation,value
R1-I1,all,loss,27,0.1433200000000002
R1-I1,all,loss,28,0.1421299999999996
R1-I1,all,loss,29,0.14268000000000017
R1-I1,all,loss,30,0.14434000000000016
R1-I1,all,loss,31,0.14396999999999982
R1-I1,all,loss,32,0.1431100000000002
R1-I1,all,loss,33,0.14331000000000021
R1-I1,all,loss,34,0.14230000000000023
R1-I1,all,loss,35,0.1428799999999998
R1-I1,all,loss,36,0.14306000000000013
R1-I1,all,loss,37,0.14239000000000054
R1-I1,all,loss,38,0.14227000000000006
R1-I1,all,loss,39,0.14075000000000043
R1-I1,all,loss,40,0.14253000000000038
R1-I1,all,loss,41,0.14288000000000037
R1-I1,all,loss,42,0.14227000000000042
R1-I1,all,loss,43,0.1420499999999995
R1-I1,all,loss,44,0.14372999999999972
R1-I1,all,loss,45,0.14259000000000013
R1-I1,all,loss,46,0.14320999999999998
R1-I1,all,loss,47,0.14369999999999877
R1-I1,all,loss,48,0.14249000000000023
R1-I1,all,loss,49,0.1431999999999998
R1-I1,all,inversions,0,10.4067
R1-I1,all,inversions,1,10.2137
R1-I1,all,inversions,2,10.2615
R1-I1,all,inversions,3,10.2007
R1-I1,all,inversions,4,10.1857
R1-I1,all,inversions,5,10.1715
R1-I1,all,inversions,6,10.2718
R1-I1,all,inversions,7,10.3929
R1-I1,all,inversions,8,10.2446
R1-I1,all,inversions,9,10.3926
R1-I1,all,inversions,10,10.333
R1-I1,all,inversions,11,10.2575
R1-I1,all,inversions,12,10.1176
R1-I1,all,inversions,13,10.2894
R1-I1,all,inversions,14,10.3387
R1-I1,all,inversions,15,10.2384
R1-I1,all,inversions,16,10.2233
R1-I1,all,inversions,17,10.1976
R1-I1,all,inversions,18,10.2192
R1-I1,all,inversions,19,10.2355
R1-I1,all,inversions,20,10.2971
R1-I1,all,inversions,21,10.2404
R1-I1,all,inversions,22,10.3874
R1-I1,all,inversions,23,10.3417
R1-I1,all,inversions,24,10.1821
R1-I1,all,inversions,25,10.3063
R1-I1,all,inversions,26,10.2512
R1-I1,all,inversions,27,10.2674
R1-I1,all,inversions,28,10.2336
R1-I1,all,inversions,29,10.271
R1-I1,all,inversions,30,10.4593
R1-I1,all,inversions,31,10.4222
R1-I1,all,inversions,32,10.2413
R1-I1,all,inversions,33,10.1852
R1-I1,all,inversions,34,10.1315
R1-I1,all,inversions,35,10.1888
R1-I1,all,inversions,36,10.3392
R1-I1,all,inversions,37,10.1703
R1-I1,all,inversions,38,10.1387
R1-I1,all,inversions,39,10.0723
R1-I1,all,inversions,40,10.1722
R1-I1,all,inversions,41,10.3203
R1-I1,all,inversions,42,10.1683
R1-I1,all,inversions,43,10.2334
R1-I1,all,inversions,44,10.2589
R1-I1,all,inversions,45,10.3305
R1-I1,all,inversions,46,10.3155
R1-I1,all,inversions,47,10.3706
R1-I1,all,inversions,48,10.3003
R1-I1,all,inversions,49,10.3277
R1-I1,all,harmful_fraction,0,0.8358
R1-I1,all,harmful_fraction,1,0.8344
R1-I1,all,harmful_fraction,2,0.8351
R1-I1,all,harmful_fraction,3,0.8341
R1-I1,all,harmful_fraction,4,0.8332
R1-I1,all,harmful_fraction,5,0.8353
R1-I1,all,harmful_fraction,6,0.8373
R1-I1,all,harmful_fraction,7,0.8358
R1-I1,all,harmful_fraction,8,0.8368
R1-I1,all,harmful_fraction,9,0.8371
R1-I1,all,harmful_fraction,10,0.8393
R1-I1,all,harmful_fraction,11,0.8407
R1-I1,all,harmful_fraction,12,0.8347
R1-I1,all,harmful_fraction,13,0.8384
R1-I1,all,harmful_fraction,14,0.8342
R1-I1,all,harmful_fraction,15,0.8357
R1-I1,all,harmful_fraction,16,0.8326
R1-I1,all,harmful_fraction,17,0.8294
R1-I1,all,harmful_fraction,18,0.8353
R1-I1,all,harmful_fraction,19,0.8296
R1-I1,all,harmful_fraction,20,0.8404
R1-I1,all,harmful_fraction,21,0.8298
R1-I1,all,harmful_fraction,22,0.8368
R1-I1,all,harmful_fraction,23,0.8375
R1-I1,all,harmful_fraction,24,0.8349
R1-I1,all,harmful_fraction,25,0.837
R1-I1,all,harmful_fraction,26,0.8415
R1-I1,all,harmful_fraction,27,0.8345
R1-I1,all,harmful_fraction,28,0.837
R1-I1,all,harmful_fraction,29,0.8355
R1-I1,all,harmful_fraction,30,0.8419
R1-I1,all,harmful_fraction,31,0.8389
R1-I1,all,harmful_fraction,32,0.8375
