model,scope,observable,quintile,queries,observable_min,observable_max,observable_mean,mean_loss,harmful_rate
R0-I1,oracle1,count_2pct,2,1269,4.0,4.0,4.0,0.1011820330969267,0.7746256895193065
R0-I1,oracle1,count_2pct,3,2151,5.0,6.0,5.438865643886564,0.12324500232450024,0.8549511854951185
R0-I1,oracle1,count_2pct,4,1546,7.0,16.0,8.140362225097025,0.16746442432082792,0.9385510996119016
R0-I1,oracle1,count_5pct,0,1129,1.0,6.0,4.712134632418069,0.06519043401240035,0.5597874224977857
R0-I1,oracle1,count_5pct,1,1137,7.0,8.0,7.541776605101143,0.09349164467897977,0.7361477572559367
R0-I1,oracle1,count_5pct,2,1934,9.0,11.0,9.985005170630817,0.10842812823164427,0.7885211995863496
R0-I1,oracle1,count_5pct,3,1120,12.0,13.0,12.45357142857143,0.1269642857142857,0.8589285714285714
R0-I1,oracle1,count_5pct,4,1816,14.0,36.0,16.602422907488986,0.1554515418502203,0.9102422907488987
R1-I1,all,g10_11_pq,0,2000,0.0,86.0234375,37.8797421875,0.13560000000000003,0.832
R1-I1,all,g10_11_pq,1,2000,86.078125,219.9140625,148.021267578125,0.12160000000000001,0.804
R1-I1,all,g10_11_pq,2,2000,219.9453125,408.591796875,306.8981662597656,0.11485000000000002,0.779
R1-I1,all,g10_11_pq,3,2000,408.7421875,750.2109375,557.4814689941406,0.09915,0.7125
R1-I1,all,g10_11_pq,4,2000,750.38671875,7209.7421875,1299.5680795898438,0.06695000000000001,0.541
R1-I1,all,g9_12_pq,0,2000,27.125,620.359375,404.62818420410156,0.1552,0.881
R1-I1,all,g9_12_pq,1,2000,620.3828125,979.20703125,795.8280422363281,0.12560000000000002,0.8185
R1-I1,all,g9_12_pq,2,2000,979.28125,1400.720703125,1181.488979248047,0.1073,0.7575
R1-I1,all,g9_12_pq,3,2000,1401.7109375,2044.60546875,1674.496677734375,0.09040000000000001,0.6825
R1-I1,all,g9_12_pq,4,2000,2044.62890625,14375.46484375,3002.137785644531,0.05965,0.529
R1-I1,all,relative_g10_11_pq,0,2000,0.0,0.0018857500901689947,0.0008331197152895483,0.12760000000000002,0.806
R1-I1,all,relative_g10_11_pq,1,2000,0.001887676474762421,0.0047060449672849105,0.0032006483378788516,0.12100000000000001,0.7935
R1-I1,all,relative_g10_11_pq,2,2000,0.004707223694609043,0.008689730497163473,0.006523564405401983,0.11295000000000002,0.7595
R1-I1,all,relative_g10_11_pq,3,2000,0.008692730904881284,0.015542828123236655,0.011604062172057627,0.10310000000000001,0.732
R1-I1,all,relative_g10_11_pq,4,2000,0.015544914270653928,0.2799566920439074,0.027572924444808272,0.0735,0.5775
R1-I1,all,relative_g9_12_pq,0,2000,0.0005562839950639618,0.013335356562845981,0.008928233660122527,0.14135000000000003,0.832
R1-I1,all,relative_g9_12_pq,1,2000,0.013337305957210673,0.020572242348431514,0.017038081622660243,0.1213,0.783
R1-I1,all,relative_g9_12_pq,2,2000,0.020572455234161388,0.028907321492447704,0.024495198954117742,0.11330000000000001,0.7675
R1-I1,all,relative_g9_12_pq,3,2000,0.028911076786632982,0.041834228754468725,0.0348683709117955,0.09405000000000001,0.7075
R1-I1,all,relative_g9_12_pq,4,2000,0.041836447567639115,0.5061207829651327,0.06453828843256011,0.06815,0.5785
R1-I1,all,count_1pct,0,1380,1.0,1.0,1.0,0.0722463768115942,0.5789855072463768
R1-I1,all,count_1pct,1,2518,2.0,2.0,2.0,0.09078633836378078,0.6914217633042097
R1-I1,all,count_1pct,2,2447,3.0,3.0,3.0,0.10719248058847569,0.7478545157335513
R1-I1,all,count_1pct,3,3655,4.0,11.0,4.917373461012312,0.13288645690834475,0.8117647058823529
R1-I1,all,count_2pct,0,1081,1.0,2.0,1.7382053654024052,0.061517113783533764,0.5346901017576319
