scope,descriptor,target,bin,queries,descriptor_mean,target_mean
all,boundary_gap_r1,within_rotation_initialization_variance,4,995,264.30452261306533,0.0029989949748743723
all,boundary_gap_r1,within_rotation_initialization_variance,5,999,359.40840840840843,0.002844622400177956
all,boundary_gap_r1,within_rotation_initialization_variance,6,1006,479.9900596421471,0.0028561961563949643
all,boundary_gap_r1,within_rotation_initialization_variance,7,999,645.2632632632633,0.0027191636080524974
all,boundary_gap_r1,within_rotation_initialization_variance,8,1003,917.2313060817547,0.0025279716406336555
all,boundary_gap_r1,within_rotation_initialization_variance,9,1000,1761.07,0.0019275555555555558
all,boundary_gap_r1,between_rotation_variance,0,990,16.47979797979798,0.0015920089786756455
all,boundary_gap_r1,between_rotation_variance,1,999,64.89689689689689,0.0015546212879546215
all,boundary_gap_r1,between_rotation_variance,2,1003,120.86739780658026,0.0015616262324138696
all,boundary_gap_r1,between_rotation_variance,3,1006,187.31908548707753,0.001646476695383256
all,boundary_gap_r1,between_rotation_variance,4,995,264.30452261306533,0.0015175432719151314
all,boundary_gap_r1,between_rotation_variance,5,999,359.40840840840843,0.0014576354131909687
all,boundary_gap_r1,between_rotation_variance,6,1006,479.9900596421471,0.001398718798321184
all,boundary_gap_r1,between_rotation_variance,7,999,645.2632632632633,0.0013882326771215664
all,boundary_gap_r1,between_rotation_variance,8,1003,917.2313060817547,0.0012643846239060598
all,boundary_gap_r1,between_rotation_variance,9,1000,1761.07,0.0009497777777777779
all,boundary_gap_r2,overall_mean_loss,0,999,286.019019019019,0.16189522856189525
all,boundary_gap_r2,overall_mean_loss,1,999,525.1321321321321,0.1385318651985319
all,boundary_gap_r2,overall_mean_loss,2,999,708.6876876876877,0.1286353019686353
all,boundary_gap_r2,overall_mean_loss,3,999,894.944944944945,0.11913246579913248
all,boundary_gap_r2,overall_mean_loss,4,1002,1084.3243512974052,0.11000665335994679
all,boundary_gap_r2,overall_mean_loss,5,1002,1292.809381237525,0.09914171656686628
all,boundary_gap_r2,overall_mean_loss,6,998,1543.8587174348697,0.09219772879091517
all,boundary_gap_r2,overall_mean_loss,7,1001,1860.2857142857142,0.08189144189144189
all,boundary_gap_r2,overall_mean_loss,8,1001,2350.8471528471528,0.06996336996336996
all,boundary_gap_r2,overall_mean_loss,9,1000,3801.014,0.04918666666666667
all,boundary_gap_r2,harmful_rotation_frequency,0,999,286.019019019019,0.9161161161161162
all,boundary_gap_r2,harmful_rotation_frequency,1,999,525.1321321321321,0.8818818818818819
all,boundary_gap_r2,harmful_rotation_frequency,2,999,708.6876876876877,0.8638638638638638
all,boundary_gap_r2,harmful_rotation_frequency,3,999,894.944944944945,0.8502502502502503
all,boundary_gap_r2,harmful_rotation_frequency,4,1002,1084.3243512974052,0.8115768463073852
all,boundary_gap_r2,harmful_rotation_frequency,5,1002,1292.809381237525,0.7828343313373255
all,boundary_gap_r2,harmful_rotation_frequency,6,998,1543.8587174348697,0.754308617234469
all,boundary_gap_r2,harmful_rotation_frequency,7,1001,1860.2857142857142,0.6993006993006993
all,boundary_gap_r2,harmful_rotation_frequency,8,1001,2350.8471528471528,0.620979020979021
all,boundary_gap_r2,harmful_rotation_frequency,9,1000,3801.014,0.44839999999999997
all,boundary_gap_r2,within_rotation_initialization_variance,0,999,286.019019019019,0.0039283728172617065
all,boundary_gap_r2,within_rotation_initialization_variance,1,999,525.1321321321321,0.0035115115115115117
all,boundary_gap_r2,within_rotation_initialization_variance,2,999,708.6876876876877,0.0033344455566677793
all,boundary_gap_r2,within_rotation_initialization_variance,3,999,894.944944944945,0.003252141029918808
all,boundary_gap_r2,within_rotation_initialization_variance,4,1002,1084.3243512974052,0.003107562652472832
all,boundary_gap_r2,within_rotation_initialization_variance,5,1002,1292.809381237525,0.0028019516522510535
all,boundary_gap_r2,within_rotation_initialization_variance,6,998,1543.8587174348697,0.0026461812513916723
all,boundary_gap_r2,within_rotation_initialization_variance,7,1001,1860.2857142857142,0.002402042402042402
all,boundary_gap_r2,within_rotation_initialization_variance,8,1001,2350.8471528471528,0.002116994116994117
all,boundary_gap_r2,within_rotation_initialization_variance,9,1000,3801.014,0.0015715555555555559
all,boundary_gap_r2,between_rotation_variance,0,999,286.019019019019,0.001919163608052497
all,boundary_gap_r2,between_rotation_variance,1,999,525.1321321321321,0.0017215437659882107
all,boundary_gap_r2,between_rotation_variance,2,999,708.6876876876877,0.0017178066955844734
all,boundary_gap_r2,between_rotation_variance,3,999,894.944944944945,0.001653564675786898
all,boundary_gap_r2,between_rotation_variance,4,1002,1084.3243512974052,0.0015210467952982924
all,boundary_gap_r2,between_rotation_variance,5,1002,1292.809381237525,0.0013605677533821247
all,boundary_gap_r2,between_rotation_variance,6,998,1543.8587174348697,0.0013083054998886665
all,boundary_gap_r2,between_rotation_variance,7,1001,1860.2857142857142,0.0012195804195804197
all,boundary_gap_r2,between_rotation_variance,8,1001,2350.8471528471528,0.0010974802974802976
all,boundary_gap_r2,between_rotation_variance,9,1000,3801.014,0.0008123555555555557
all,boundary_gap_r5,overall_mean_loss,0,1000,1580.625,0.17328000000000002
all,boundary_gap_r5,overall_mean_loss,1,1000,2411.863,0.13749333333333336
all,boundary_gap_r5,overall_mean_loss,2,999,2916.197197197197,0.12391725058391727
