scope,L,fraction,policy,selected_queries,recall,recall_gain,exact_distance_evals_per_query,recovery_fraction,recall_gain_per_exact_eval,random_mean_recall,random_recall_p025,random_recall_p975,gap_vs_random_recall,recovery_vs_random,selector_efficiency,exceeds_random_p975,random_std
shard0,32,0.5,RANDOM,1250,0.8986452,0.05140520000000004,16.0,0.49985608712563245,0.0032128250000000025,0.8986452,0.89683,0.900402,,,,,0.0008701497374915281
shard0,64,0.1,GAP,250,0.86328,0.01604,6.4,0.15597043951769737,0.00250625,0.8575432000000001,0.856737,0.858501,0.005736799999999986,0.05578374173473343,0.371150561565137,True,
shard0,64,0.1,ORACLE-QUERY,250,0.873,0.02576,6.4,0.250486192143135,0.004025,0.8575432000000001,0.856737,0.858501,0.015456799999999937,0.15029949436017054,1.0,True,
shard0,64,0.1,FULL-LOSS-SELECTOR,250,0.873,0.02576,6.4,0.250486192143135,0.004025,0.8575432000000001,0.856737,0.858501,0.015456799999999937,0.15029949436017054,1.0,True,
shard0,64,0.1,RANDOM,250,0.8575432000000001,0.010303200000000068,6.4,0.10018669778296449,0.0016098750000000106,0.8575432000000001,0.856737,0.858501,,,,,0.00044864527843117786
shard0,64,0.25,GAP,625,0.88388,0.03664,16.0,0.35628160248930374,0.00229,0.8730716,0.871596,0.874282,0.010808400000000051,0.10509918319720003,0.3611419253952775,True,
shard0,64,0.25,ORACLE-QUERY,625,0.903,0.05576,16.0,0.5422014780241151,0.003485,0.8730716,0.871596,0.874282,0.029928400000000077,0.2910190587320116,1.0,True,
shard0,64,0.25,FULL-LOSS-SELECTOR,625,0.903,0.05576,16.0,0.5422014780241151,0.003485,0.8730716,0.871596,0.874282,0.029928400000000077,0.2910190587320116,1.0,True,
shard0,64,0.25,RANDOM,625,0.8730716,0.025831599999999955,16.0,0.2511824192921038,0.0016144749999999972,0.8730716,0.871596,0.874282,,,,,0.000683787314089032
shard0,64,0.5,GAP,1250,0.91228,0.06504,32.0,0.632438739789965,0.0020325,0.8987024000000001,0.896872,0.900442,0.013577599999999856,0.13202644885258513,0.442301678307096,True,
shard0,64,0.5,ORACLE-QUERY,1250,0.9294,0.08216,32.0,0.7989109295993776,0.0025675,0.8987024000000001,0.896872,0.900442,0.03069759999999988,0.29849863866199805,1.0,True,
shard0,64,0.5,FULL-LOSS-SELECTOR,1250,0.9294,0.08216,32.0,0.7989109295993776,0.0025675,0.8987024000000001,0.896872,0.900442,0.03069759999999988,0.29849863866199805,1.0,True,
shard0,64,0.5,RANDOM,1250,0.8987024000000001,0.05146240000000013,32.0,0.5004122909373797,0.001608200000000004,0.8987024000000001,0.896872,0.900442,,,,,0.0008726658564248359
shard1,16,0.1,GAP,250,0.86556,0.01356,1.6,0.13346456692913386,0.008474999999999998,0.861074,0.860177,0.86192,0.00448599999999999,0.04415354330708652,0.31226507030488604,True,
shard1,16,0.1,ORACLE-QUERY,250,0.87544,0.02344,1.6,0.23070866141732282,0.014649999999999998,0.861074,0.860177,0.86192,0.01436599999999999,0.1413976377952755,1.0,True,
shard1,16,0.1,FULL-LOSS-SELECTOR,250,0.87396,0.02196,1.6,0.2161417322834646,0.013725,0.861074,0.860177,0.86192,0.012885999999999953,0.12683070866141685,0.8969789781428347,True,
shard1,16,0.1,RANDOM,250,0.861074,0.009074000000000026,1.6,0.08931102362204751,0.0056712500000000166,0.861074,0.860177,0.86192,,,,,0.0004583104677491956
shard1,16,0.25,GAP,625,0.88268,0.03068,4.0,0.30196850393700786,0.00767,0.8746588,0.873196,0.875903,0.008021200000000062,0.0789488188976384,0.3073115412318226,True,
shard1,16,0.25,ORACLE-QUERY,625,0.90076,0.04876,4.0,0.4799212598425197,0.01219,0.8746588,0.873196,0.875903,0.026101200000000047,0.25690157480315007,1.0,True,
shard1,16,0.25,FULL-LOSS-SELECTOR,625,0.9002,0.0482,4.0,0.4744094488188976,0.01205,0.8746588,0.873196,0.875903,0.02554120000000004,0.251389763779528,0.9785450477372686,True,
shard1,16,0.25,RANDOM,625,0.8746588,0.02265879999999998,4.0,0.2230196850393699,0.005664699999999995,0.8746588,0.873196,0.875903,,,,,0.0006397336567003131
shard1,16,0.5,GAP,1250,0.90732,0.05532,8.0,0.544488188976378,0.006915,0.897432,0.8956569999999999,0.898743,0.009888000000000008,0.09732283464566938,0.3490539395650946,True,
shard1,16,0.5,ORACLE-QUERY,1250,0.92576,0.07376,8.0,0.725984251968504,0.00922,0.897432,0.8956569999999999,0.898743,0.02832800000000002,0.2788188976377955,1.0,True,
shard1,16,0.5,FULL-LOSS-SELECTOR,1250,0.92364,0.07164,8.0,0.7051181102362205,0.008955,0.897432,0.8956569999999999,0.898743,0.02620800000000001,0.2579527559055119,0.9251623835074835,True,
shard1,16,0.5,RANDOM,1250,0.897432,0.04543200000000003,8.0,0.447165354330709,0.0056790000000000035,0.897432,0.8956569999999999,0.898743,,,,,0.0007649493282221163
shard1,32,0.1,GAP,250,0.86764,0.01564,3.2,0.15393700787401576,0.0048875,0.862126,0.8611329999999999,0.863021,0.005514000000000019,0.05427165354330728,0.3517927778486661,True,
shard1,32,0.1,ORACLE-QUERY,250,0.8778,0.0258,3.2,0.25393700787401574,0.0080625,0.862126,0.8611329999999999,0.863021,0.015674000000000077,0.15427165354330785,1.0,True,
shard1,32,0.1,FULL-LOSS-SELECTOR,250,0.8778,0.0258,3.2,0.25393700787401574,0.0080625,0.862126,0.8611329999999999,0.863021,0.015674000000000077,0.15427165354330785,1.0,True,
