model,scope,condition,metric,queries,mean,std,median,p05,p95
R1-I1,all,N3,recall,10000,0.8446210999999998,0.0004554892918055205,0.84462,0.843928,0.8454135
R1-I1,all,N3,inversions,10000,6.414840000000001,0.0218933410844116,6.4176,6.3795,6.45232
R1-I1,all,N3,agreement,10000,0.8700196999999997,0.0004581814183499929,0.86999,0.8692780000000001,0.8707315
R1-I1,all,N3,harmful_fraction,10000,0.737366,0.002832039633347048,0.7374,0.732595,0.7422099999999999
R1-I1,all,N4,loss,10000,0.10886479999999998,0.00042137696360212284,0.10894000000000001,0.1080995,0.1095005
R1-I1,all,N4,recall,10000,0.8442852000000002,0.00042137696360212355,0.8442099999999999,0.8436495,0.8450504999999999
R1-I1,all,N4,inversions,10000,6.417235,0.017583333333333336,6.4169,6.389855,6.4400699999999995
R1-I1,all,N4,agreement,10000,0.8699063000000001,0.0003938072517300222,0.869865,0.86929,0.8705704999999999
R1-I1,all,N4,harmful_fraction,10000,0.7360890000000001,0.0027599185685542424,0.73615,0.731475,0.74081
R1-I1,all,N_distance,loss,10000,0.11981649999999998,0.0006644863969391485,0.119855,0.1187595,0.1208215
R1-I1,all,N_distance,recall,10000,0.8333335,0.0006644863969391475,0.833295,0.8323285,0.8343904999999999
R1-I1,all,N_distance,inversions,10000,7.4693629999999995,0.05716523216682383,7.4704999999999995,7.366935,7.557515
R1-I1,all,N_distance,agreement,10000,0.8584125000000001,0.0007422779231201182,0.858475,0.8570789999999999,0.8595605
R1-I1,all,N_distance,harmful_fraction,10000,0.776773,0.0029771471328278423,0.7768,0.7723,0.78153
R1-I1,oracle1,observed,loss,7136,0.12270179372197312,2.7895403077993544e-17,0.1227017937219731,0.1227017937219731,0.1227017937219731
R1-I1,oracle1,observed,recall,7136,0.8772982062780271,1.1158161231197418e-16,0.877298206278027,0.877298206278027,0.877298206278027
R1-I1,oracle1,observed,inversions,7136,5.737107623318385,0.0,5.737107623318385,5.737107623318385,5.737107623318385
R1-I1,oracle1,observed,agreement,7136,0.8772982062780271,1.1158161231197418e-16,0.877298206278027,0.877298206278027,0.877298206278027
R1-I1,oracle1,observed,harmful_fraction,7136,0.8132006726457398,1.1158161231197418e-16,0.8132006726457399,0.8132006726457399,0.8132006726457399
R1-I1,oracle1,N0,loss,7136,0.15995585762331838,0.0008566839826502464,0.15991451793721972,0.15871566704035875,0.16139293721973094
R1-I1,oracle1,N0,recall,7136,0.8400441423766816,0.0008566839826502463,0.8400854820627803,0.8386070627802691,0.8412843329596412
R1-I1,oracle1,N0,inversions,7136,9.5443091367713,0.07814858723069455,9.536995515695068,9.417061378923767,9.678188060538117
R1-I1,oracle1,N0,agreement,7136,0.8400441423766816,0.0008566839826502463,0.8400854820627803,0.8386070627802691,0.8412843329596412
R1-I1,oracle1,N0,harmful_fraction,7136,0.9001429372197309,0.0033316552098240776,0.9002942825112108,0.8940582959641256,0.9054161995515695
R1-I1,oracle1,N1,loss,7136,0.17280759529147982,0.0007602527324704892,0.17270179372197308,0.17180563340807176,0.1740204596412556
R1-I1,oracle1,N1,recall,7136,0.8271924047085202,0.0007602527324704895,0.8272982062780269,0.8259795403587443,0.8281943665919282
R1-I1,oracle1,N1,inversions,7136,9.968168441704037,0.06496065433343678,9.961182735426009,9.877984865470852,10.077305213004484
R1-I1,oracle1,N1,agreement,7136,0.8271924047085202,0.0007602527324704895,0.8272982062780269,0.8259795403587443,0.8281943665919282
R1-I1,oracle1,N1,harmful_fraction,7136,0.9217825112107625,0.002942907344785324,0.921804932735426,0.9167250560538117,0.9265765134529148
R1-I1,oracle1,N2,loss,7136,0.13257174887892376,0.0006916656212956981,0.13258127802690584,0.1313466928251121,0.13347183295964124
R1-I1,oracle1,N2,recall,7136,0.8674282511210762,0.0006916656212957005,0.8674187219730942,0.8665281670403587,0.8686533071748879
