model,scope,condition,metric,observed,n0_mean,condition_mean,denominator,gap_closure,invalid_draw_denominators,draw_mean,draw_std,draw_median,draw_p05,draw_p95
R2-I1,oracle1,N4,loss,0.11936659192825114,0.1600267656950673,0.12088424887892377,0.04066017376681616,0.9626746073596166,0,0.9626416781429161,0.010557973509931678,0.9621804211632696,0.9451226863420072,0.9795945440264958
R2-I1,oracle1,N_distance,loss,0.11936659192825114,0.1600267656950673,0.1352788677130045,0.04066017376681616,0.6086520466929287,0,0.6085606518674179,0.020589553199905256,0.6088803265395079,0.5767071971158827,0.6401222885374347
R2-I1,oracle1,N0,inversions,5.4964966367713,9.576219170403588,9.576219170403588,4.079722533632288,0.0,0,0.0,0.0,0.0,0.0,0.0
R2-I1,oracle1,N1,inversions,5.4964966367713,9.576219170403588,9.965182174887891,4.079722533632288,-0.09534055350033786,0,-0.09591589829191588,0.03140083684074319,-0.09709482248564938,-0.14383881251458575,-0.04677454796926513
R2-I1,oracle1,N2,inversions,5.4964966367713,9.576219170403588,6.701959080717492,4.079722533632288,0.7045234243239245,0,0.7043901985225824,0.011073903989813763,0.7045866649815247,0.6862761281217827,0.7227316931833742
R2-I1,oracle1,N3,inversions,5.4964966367713,9.576219170403588,5.672535033632287,4.079722533632288,0.9568503996510137,0,0.9568159435718134,0.006050497225707818,0.957149225832685,0.9466469695615044,0.966601696676615
R2-I1,oracle1,N4,inversions,5.4964966367713,9.576219170403588,5.654789798206278,4.079722533632288,0.9612000178614978,0,0.9611688510973677,0.005252019808159649,0.9611851389261786,0.9532848137444818,0.9697308010637066
R2-I1,oracle1,N_distance,inversions,5.4964966367713,9.576219170403588,6.8748444506726445,4.079722533632288,0.6621466772461696,0,0.6620289566269305,0.015277334545045727,0.6616478550163511,0.6425238731282641,0.6854041299315068
R3-I1,all,N0,loss,0.10589000000000001,0.1422951,0.1422951,0.036405099999999996,0.0,0,0.0,0.0,0.0,0.0,0.0
R3-I1,all,N1,loss,0.10589000000000001,0.1422951,0.151669,0.036405099999999996,-0.2574886485684696,0,-0.2580223268729395,0.03274061643413937,-0.2598924203415477,-0.3032552656641537,-0.20734117356107856
R3-I1,all,N2,loss,0.10589000000000001,0.1422951,0.11578620000000002,0.036405099999999996,0.7281644604739443,0,0.7281368927637787,0.014241608304297843,0.7294822371031631,0.7077431223473027,0.7484873988659605
R3-I1,all,N3,loss,0.10589000000000001,0.1422951,0.10722220000000002,0.036405099999999996,0.9634062260507454,0,0.9634047370575571,0.01386571336484568,0.9626112874166387,0.9430327063069045,0.9854793031700185
