model,scope,descriptor,target,queries,spearman
R4-I1,all,dk,excess_loss,10000,0.05522650647030177
R4-I1,all,dk_plus_1,observed_loss,10000,-0.17514329041522161
R4-I1,all,dk_plus_1,null_mean_loss,10000,-0.2922847926434276
R4-I1,all,dk_plus_1,excess_loss,10000,0.055173507053849116
R4-I1,all,d20,observed_loss,10000,-0.18491564624455734
R4-I1,all,d20,null_mean_loss,10000,-0.3141476783736027
R4-I1,all,d20,excess_loss,10000,0.060751064112915656
R4-I1,all,oracle_recall,observed_loss,10000,0.3225527300693862
R4-I1,all,oracle_recall,null_mean_loss,10000,0.4641093853321492
R4-I1,all,oracle_recall,excess_loss,10000,-0.03495035543161075
R4-I1,oracle1,boundary_gap_r1,observed_loss,7136,-0.32681128349054606
R4-I1,oracle1,boundary_gap_r1,null_mean_loss,7136,-0.49593233893966954
R4-I1,oracle1,boundary_gap_r1,excess_loss,7136,0.007911174801537767
R4-I1,oracle1,boundary_gap_r2,observed_loss,7136,-0.4581279316207247
R4-I1,oracle1,boundary_gap_r2,null_mean_loss,7136,-0.7658317273333004
R4-I1,oracle1,boundary_gap_r2,excess_loss,7136,0.053574300645050144
R4-I1,oracle1,boundary_gap_r5,observed_loss,7136,-0.4006507316675508
R4-I1,oracle1,boundary_gap_r5,null_mean_loss,7136,-0.7789970788873488
R4-I1,oracle1,boundary_gap_r5,excess_loss,7136,0.1273546006268129
R4-I1,oracle1,relative_boundary_margin,observed_loss,7136,-0.3043403660853854
R4-I1,oracle1,relative_boundary_margin,null_mean_loss,7136,-0.43821921360803484
R4-I1,oracle1,relative_boundary_margin,excess_loss,7136,-0.016419127013179925
R4-I1,oracle1,relative_span_r2,observed_loss,7136,-0.4387231135922563
R4-I1,oracle1,relative_span_r2,null_mean_loss,7136,-0.693312171755669
R4-I1,oracle1,relative_span_r2,excess_loss,7136,0.013467023814947927
R4-I1,oracle1,local_distance_concentration,observed_loss,7136,-0.20881580253644708
R4-I1,oracle1,local_distance_concentration,null_mean_loss,7136,-0.37068180195930733
R4-I1,oracle1,local_distance_concentration,excess_loss,7136,0.042245954008171015
R4-I1,oracle1,candidate_count,observed_loss,7136,-0.0036487995234047088
R4-I1,oracle1,candidate_count,null_mean_loss,7136,0.016435784770627997
R4-I1,oracle1,candidate_count,excess_loss,7136,-0.0032224102128785943
R4-I1,oracle1,d1,observed_loss,7136,0.03650153386217372
R4-I1,oracle1,d1,null_mean_loss,7136,0.04118610418493395
R4-I1,oracle1,d1,excess_loss,7136,0.013836402514193288
R4-I1,oracle1,dk,observed_loss,7136,-0.04827698615807093
R4-I1,oracle1,dk,null_mean_loss,7136,-0.12638517249857023
R4-I1,oracle1,dk,excess_loss,7136,0.0446548177494835
R4-I1,oracle1,dk_plus_1,observed_loss,7136,-0.05875244508112598
R4-I1,oracle1,dk_plus_1,null_mean_loss,7136,-0.14127508369268713
R4-I1,oracle1,dk_plus_1,excess_loss,7136,0.04463978597453916
R4-I1,oracle1,d20,observed_loss,7136,-0.07917637526446267
R4-I1,oracle1,d20,null_mean_loss,7136,-0.18137458023153283
R4-I1,oracle1,d20,excess_loss,7136,0.051599040039136575
R4-I1,oracle1,oracle_recall,observed_loss,7136,
R4-I1,oracle1,oracle_recall,null_mean_loss,7136,
R4-I1,oracle1,oracle_recall,excess_loss,7136,
five_model_mean,all,boundary_gap_r1,observed_loss,10000,-0.33601403967723165
five_model_mean,all,boundary_gap_r1,null_mean_loss,10000,-0.3600655489738667
five_model_mean,all,boundary_gap_r1,excess_loss,10000,0.0337989433698523
five_model_mean,all,boundary_gap_r2,observed_loss,10000,-0.5215879249889216
five_model_mean,all,boundary_gap_r2,null_mean_loss,10000,-0.6061892137172445
five_model_mean,all,boundary_gap_r2,excess_loss,10000,0.1263942727502116
five_model_mean,all,boundary_gap_r5,observed_loss,10000,-0.4938681473810566
five_model_mean,all,boundary_gap_r5,null_mean_loss,10000,-0.6526708344648666
five_model_mean,all,boundary_gap_r5,excess_loss,10000,0.25304474075166533
five_model_mean,all,relative_boundary_margin,observed_loss,10000,-0.2612699232849443
five_model_mean,all,relative_boundary_margin,null_mean_loss,10000,-0.24928302638680147
five_model_mean,all,relative_boundary_margin,excess_loss,10000,-0.03751987822749889
five_model_mean,all,relative_span_r2,observed_loss,10000,-0.40115060736223696
five_model_mean,all,relative_span_r2,null_mean_loss,10000,-0.42350346100669883
five_model_mean,all,relative_span_r2,excess_loss,10000,0.006361545080400273
five_model_mean,all,local_distance_concentration,observed_loss,10000,-0.1037850556616781
five_model_mean,all,local_distance_concentration,null_mean_loss,10000,-0.14627286274764814
five_model_mean,all,local_distance_concentration,excess_loss,10000,0.05642098823912222
five_model_mean,all,candidate_count,observed_loss,10000,-0.1467045464561474
five_model_mean,all,candidate_count,null_mean_loss,10000,-0.17548043970755817
five_model_mean,all,candidate_count,excess_loss,10000,0.07513783932553178
five_model_mean,all,d1,observed_loss,10000,-0.12651539794678587
